----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00053.cbf | 38     | 13            | 24105           | 1.61  | 35.90                  | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00054.cbf | 38     | 12            | 31387           | 1.61  | 37.44                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00055.cbf | 500    | 456           | 374586          | 1.61  | 3.17                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00056.cbf | 40     | 13            | 35037           | 1.48  | 35.29                  | 2.54                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00057.cbf | 38     | 11            | 26764           | 1.61  | 2.40                   | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00058.cbf | 43     | 13            | 25583           | 1.61  | 2.45                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00059.cbf | 41     | 18            | 28956           | 1.61  | 33.67                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00060.cbf | 45     | 17            | 33433           | 1.61  | 37.20                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00061.cbf | 37     | 13            | 33426           | 1.61  | 37.42                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00062.cbf | 30     | 9             | 24848           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00063.cbf | 552    | 495           | 422157          | 1.61  | 3.08                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00064.cbf | 112    | 88            | 97533           | 1.61  | 3.45                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00065.cbf | 46     | 15            | 33287           | 1.61  | 35.04                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00066.cbf | 44     | 16            | 37328           | 1.61  | 34.87                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00067.cbf | 37     | 13            | 26405           | 1.61  | 2.48                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00068.cbf | 36     | 16            | 31538           | 1.61  | 23.01                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00069.cbf | 34     | 8             | 17897           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00070.cbf | 35     | 15            | 31865           | 1.61  | 34.80                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00071.cbf | 581    | 532           | 462117          | 1.61  | 3.19                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00072.cbf | 41     | 17            | 42207           | 1.61  | 23.28                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00073.cbf | 37     | 12            | 31658           | 1.63  | 35.23                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00074.cbf | 42     | 17            | 29905           | 1.61  | 23.39                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00075.cbf | 38     | 13            | 31128           | 1.61  | 33.92                  | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00076.cbf | 34     | 9             | 14654           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00077.cbf | 37     | 13            | 29398           | 1.61  | 37.41                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00078.cbf | 38     | 13            | 34247           | 1.61  | 34.28                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00079.cbf | 40     | 15            | 30951           | 1.61  | 2.42                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00080.cbf | 179    | 152           | 131484          | 1.61  | 3.34                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00081.cbf | 48     | 24            | 37715           | 1.61  | 9.86                   | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00082.cbf | 36     | 12            | 30449           | 1.61  | 38.33                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00083.cbf | 34     | 11            | 20044           | 1.61  | 2.42                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00084.cbf | 45     | 17            | 42472           | 1.61  | 32.06                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00085.cbf | 38     | 11            | 26877           | 1.61  | 35.01                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00086.cbf | 396    | 363           | 271412          | 1.61  | 3.54                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00087.cbf | 72     | 48            | 54697           | 1.61  | 5.10                   | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00088.cbf | 37     | 10            | 43868           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00089.cbf | 32     | 11            | 28937           | 1.61  | 2.41                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00090.cbf | 38     | 15            | 33925           | 1.61  | 32.95                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00091.cbf | 39     | 14            | 42739           | 1.61  | 2.37                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00092.cbf | 40     | 13            | 26949           | 1.38  | 34.42                  | 2.97                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00093.cbf | 39     | 15            | 27676           | 1.61  | 23.32                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00094.cbf | 39     | 18            | 27190           | 1.61  | 2.28                   | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00095.cbf | 42     | 15            | 36542           | 1.61  | 34.80                  | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00096.cbf | 41     | 18            | 58870           | 1.61  | 31.65                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00097.cbf | 36     | 10            | 29124           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00098.cbf | 38     | 15            | 26534           | 1.61  | 30.60                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00099.cbf | 63     | 37            | 48832           | 1.61  | 8.15                   | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00100.cbf | 39     | 13            | 29045           | 1.61  | 2.39                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00101.cbf | 37     | 11            | 31207           | 1.61  | 38.40                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00102.cbf | 423    | 364           | 380360          | 2.26  | 2.65                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00103.cbf | 1460   | 1352          | 1246975         | 2.24  | 3.45                   | 3.04                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00104.cbf | 49     | 23            | 44648           | 1.61  | 8.29                   | 4.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00105.cbf | 38     | 11            | 35875           | 1.36  | 35.61                  | 1.94                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00106.cbf | 145    | 112           | 106968          | 1.61  | 3.22                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00107.cbf | 41     | 12            | 31541           | 1.61  | 34.11                  | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00108.cbf | 43     | 15            | 58882           | 1.61  | 3.16                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00109.cbf | 41     | 15            | 34312           | 1.61  | 3.28                   | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00110.cbf | 39     | 15            | 32186           | 1.61  | 35.23                  | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00111.cbf | 33     | 8             | 17478           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00112.cbf | 105    | 76            | 67836           | 1.61  | 3.75                   | 3.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00113.cbf | 48     | 22            | 36300           | 1.39  | 3.93                   | 3.27                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00114.cbf | 99     | 75            | 63493           | 1.61  | 3.01                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00115.cbf | 71     | 47            | 52812           | 1.61  | 4.11                   | 3.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00116.cbf | 43     | 14            | 26490           | 1.61  | 23.35                  | 2.76                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00117.cbf | 31     | 9             | 23493           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00118.cbf | 160    | 129           | 117494          | 1.38  | 3.46                   | 3.27                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00119.cbf | 73     | 46            | 53920           | 1.61  | 3.01                   | 3.23                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00120.cbf | 43     | 15            | 35271           | 1.61  | 2.45                   | 2.29                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00121.cbf | 419    | 371           | 308640          | 1.64  | 2.88                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00122.cbf | 125    | 102           | 95521           | 1.61  | 3.71                   | 3.83                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00123.cbf | 38     | 13            | 20975           | 1.61  | 2.10                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00124.cbf | 51     | 27            | 37281           | 1.55  | 8.28                   | 4.20                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00125.cbf | 40     | 20            | 32972           | 1.61  | 3.05                   | 4.37                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00126.cbf | 39     | 12            | 36011           | 1.67  | 2.40                   | 2.16                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00127.cbf | 144    | 118           | 97082           | 1.61  | 3.66                   | 3.48                   | 0        | 0.00             |
