---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                        | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00070.cbf | 2      | 1             | 178             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00071.cbf | 3      | 2             | 61              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00072.cbf | 9      | 7             | 3705            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00073.cbf | 7      | 5             | 133             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00074.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00075.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00076.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00077.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00078.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00079.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00080.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00081.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00082.cbf | 3      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00083.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00084.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00085.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00086.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00087.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00088.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
