----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00075.cbf | 47     | 28            | 16773           | 1.62  | 4.18                   | 3.48                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00076.cbf | 165    | 136           | 102877          | 2.18  | 2.81                   | 3.07                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00077.cbf | 77     | 54            | 36428           | 1.58  | 2.66                   | 3.41                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00078.cbf | 25     | 5             | 2117            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00079.cbf | 23     | 3             | 2115            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00080.cbf | 22     | 2             | 2094            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00081.cbf | 337    | 287           | 280921          | 2.21  | 2.42                   | 2.59                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00082.cbf | 25     | 5             | 2796            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00083.cbf | 27     | 6             | 3238            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00084.cbf | 70     | 46            | 36716           | 2.14  | 2.52                   | 3.08                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00085.cbf | 22     | 3             | 4789            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00086.cbf | 43     | 21            | 14295           | 1.66  | 3.96                   | 3.38                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00087.cbf | 148    | 117           | 77011           | 2.14  | 2.50                   | 3.07                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00088.cbf | 83     | 58            | 40667           | 1.60  | 3.39                   | 3.00                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00089.cbf | 27     | 4             | 1834            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00090.cbf | 63     | 37            | 25026           | 2.51  | 2.75                   | 3.00                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00091.cbf | 66     | 46            | 28684           | 3.40  | 3.45                   | 3.51                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00092.cbf | 33     | 13            | 9162            | 1.57  | 4.57                   | 2.95                   | 0        | 0.00             |
